0,0,Wii,2006.0,Sports,Nintendo,41.36,28.96,3.77,76.0,51.0,8.0,322.0,E
130,212,PS3,2007.0,Action,Sony Computer Entertainment,2.31,1.72,0.12,88.0,66.0,8.1,2306.0,T
131,218,PC,2010.0,Strategy,Activision,2.57,1.68,0.0,93.0,82.0,8.2,3052.0,T
132,219,PS3,2007.0,Adventure,Ubisoft,1.91,2.0,0.09,81.0,40.0,7.3,769.0,M
133,220,PS3,2010.0,Action,Sony Computer Entertainment,2.74,1.33,0.12,92.0,101.0,8.7,2633.0,M
134,221,PS,1999.0,Racing,Sony Computer Entertainment,2.57,1.57,0.44,88.0,20.0,9.0,233.0,E
135,222,DS,2007.0,Action,LucasArts,2.83,1.48,0.0,80.0,9.0,5.4,46.0,E
136,223,PS,2000.0,Action,Atari,2.36,2.1,0.02,62.0,14.0,7.7,92.0,T
137,224,X360,2011.0,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,94.0,87.0,8.7,1472.0,T
138,227,PS,2000.0,Sports,Activision,3.05,1.41,0.02,98.0,19.0,7.7,299.0,T
139,228,PS2,2002.0,Action,Electronic Arts,1.94,1.95,0.08,82.0,32.0,8.2,78.0,T
140,229,PS,1996.0,Action,Eidos Interactive,2.29,1.97,0.13,91.0,13.0,8.6,147.0,T
141,230,Wii,2008.0,Simulation,Nintendo,1.82,1.12,1.32,73.0,50.0,7.6,119.0,E
142,231,PS4,2015.0,Action,Sony Computer Entertainment,2.07,1.71,0.08,86.0,78.0,8.1,1264.0,T
143,234,Wii,2007.0,Misc,Activision,3.04,1.11,0.0,86.0,36.0,8.4,87.0,T
144,235,3DS,2013.0,Action,Nintendo,1.8,1.39,1.11,86.0,74.0,8.4,458.0,E
145,236,X360,2011.0,Racing,Microsoft Game Studios,2.08,1.97,0.06,91.0,83.0,8.2,617.0,E
146,242,XOne,2015.0,Shooter,Microsoft Game Studios,2.78,1.27,0.03,84.0,101.0,6.4,2438.0,T
147,243,PS2,2002.0,Action,Activision,2.71,1.51,0.03,76.0,25.0,7.9,41.0,E
148,245,PS4,2016.0,Shooter,Activision,1.61,2.0,0.15,77.0,82.0,3.4,1129.0,M
149,246,PS2,2005.0,Action,Sony Computer Entertainment,2.71,1.29,0.02,94.0,75.0,8.9,997.0,M
150,247,WiiU,2015.0,Shooter,Nintendo,1.54,1.18,1.46,81.0,88.0,8.5,1184.0,E10+
151,248,WiiU,2012.0,Misc,Nintendo,2.52,1.11,0.46,77.0,61.0,7.9,471.0,E10+
152,249,PS2,2001.0,Sports,Activision,2.66,1.29,0.01,97.0,34.0,7.5,298.0,T
153,251,X360,2006.0,Role-Playing,Take-Two Interactive,2.82,1.03,0.13,94.0,90.0,8.7,1109.0,M
154,253,PS2,2005.0,Racing,Electronic Arts,2.03,1.79,0.08,82.0,36.0,9.1,137.0,T
155,254,Wii,2010.0,Misc,Ubisoft,2.64,1.33,0.01,56.0,37.0,8.3,31.0,E10+
156,256,PS3,2006.0,Shooter,Sony Computer Entertainment,1.74,1.72,0.14,86.0,70.0,8.1,715.0,M
157,260,WiiU,2013.0,Platform,Nintendo,2.11,1.16,0.73,93.0,83.0,9.0,1607.0,E
158,265,X360,2008.0,Role-Playing,Microsoft Game Studios,2.51,1.24,0.11,89.0,95.0,6.5,2423.0,M
159,266,GBA,2001.0,Misc,Namco Bandai Games,3.0,1.11,0.05,79.0,10.0,7.3,6.0,E
160,267,PS3,2009.0,Action,Eidos Interactive,2.24,1.31,0.07,91.0,70.0,8.9,1122.0,T
161,269,PS3,2011.0,Action,Ubisoft,1.41,2.01,0.1,80.0,39.0,7.5,613.0,M
162,270,XOne,2015.0,Role-Playing,Bethesda Softworks,2.51,1.32,0.01,88.0,39.0,6.2,1749.0,M
163,272,PSP,2006.0,Platform,Sony Computer Entertainment,2.45,1.01,0.0,85.0,59.0,8.7,109.0,E10+
164,276,PS3,2007.0,Racing,Sony Computer Entertainment,1.28,1.82,0.57,80.0,67.0,7.1,120.0,E
165,277,X360,2011.0,Action,Ubisoft,2.25,1.47,0.04,80.0,77.0,7.2,564.0,M
166,280,PS3,2009.0,Fighting,Capcom,2.03,1.04,0.58,94.0,61.0,7.3,330.0,T
167,288,PC,2007.0,Role-Playing,Activision,2.57,1.52,0.0,91.0,46.0,7.9,785.0,T
168,289,PS4,2016.0,Shooter,Electronic Arts,1.1,2.15,0.21,88.0,31.0,8.4,809.0,M
169,292,X360,2010.0,Role-Playing,Bethesda Softworks,2.66,1.03,0.04,84.0,81.0,8.1,769.0,M
170,293,X360,2007.0,Racing,Microsoft Game Studios,2.35,1.27,0.03,90.0,66.0,8.3,381.0,E
171,294,Wii,2007.0,Misc,Take-Two Interactive,2.12,1.47,0.05,56.0,27.0,6.0,44.0,E
172,295,PS4,2014.0,Action,Ubisoft,1.4,1.9,0.11,80.0,80.0,6.3,2996.0,M
173,297,PS2,2000.0,Fighting,Namco Bandai Games,1.68,1.51,0.51,85.0,25.0,8.5,117.0,T
174,298,PS4,2014.0,Shooter,Ubisoft,1.13,2.18,0.1,85.0,83.0,7.7,1653.0,M
175,303,PS4,2015.0,Role-Playing,Namco Bandai Games,1.02,2.13,0.23,92.0,79.0,9.2,10179.0,M
176,304,PS4,2014.0,Action,Ubisoft,1.19,2.07,0.08,70.0,40.0,4.9,2050.0,M
177,305,PS4,2015.0,Action,Warner Bros. Interactive Entertainment,1.53,1.69,0.1,87.0,89.0,7.6,2679.0,M
178,306,Wii,2011.0,Action,Nintendo,2.03,1.16,0.37,93.0,81.0,8.0,1958.0,E10+
179,307,PS3,2008.0,Role-Playing,Bethesda Softworks,2.15,1.13,0.07,90.0,57.0,8.0,910.0,M
180,310,Wii,2009.0,Sports,Electronic Arts,2.09,1.35,0.06,81.0,27.0,8.7,39.0,E
181,311,PS2,2003.0,Sports,Activision,2.29,1.17,0.01,90.0,38.0,8.7,121.0,T
182,313,PC,2011.0,Role-Playing,Bethesda Softworks,1.16,2.12,0.0,94.0,32.0,8.1,9073.0,M
183,317,PS3,2006.0,Racing,Sony Computer Entertainment,1.53,1.6,0.06,84.0,9.0,7.4,220.0,T
184,320,PS3,2010.0,Sports,Sony Computer Entertainment,2.13,1.12,0.1,76.0,64.0,7.9,104.0,E10+
185,323,PS4,2013.0,Shooter,Activision,1.78,1.43,0.05,78.0,49.0,3.7,1564.0,M
186,325,PS4,2016.0,Shooter,Ubisoft,1.35,1.7,0.15,80.0,64.0,7.0,2219.0,M
187,326,Wii,2007.0,Misc,Nintendo,1.05,1.91,0.41,68.0,33.0,6.9,39.0,E
188,329,X360,2008.0,Action,Activision,2.4,1.01,0.0,77.0,60.0,7.5,66.0,E10+
189,330,PC,2002.0,Simulation,Electronic Arts,2.03,1.56,0.0,79.0,21.0,8.0,29.0,T
190,332,PS,2001.0,Action,Electronic Arts,1.37,2.0,0.14,64.0,11.0,7.5,41.0,E
191,336,PS,2000.0,Platform,Sony Computer Entertainment,1.93,1.58,0.0,91.0,15.0,8.8,207.0,E
192,337,PS3,2013.0,Action,Ubisoft,1.33,1.68,0.13,88.0,36.0,8.1,840.0,M
193,341,PS2,2002.0,Sports,Activision,2.13,1.18,0.01,94.0,27.0,8.5,128.0,T
194,343,DS,2007.0,Simulation,Electronic Arts,1.58,1.59,0.08,67.0,15.0,7.3,13.0,E
195,344,PSP,2005.0,Racing,Take-Two Interactive,1.65,1.21,0.0,74.0,34.0,8.4,31.0,E10+
196,347,PS2,2001.0,Platform,Sony Computer Entertainment,2.08,1.09,0.15,90.0,35.0,8.7,312.0,E
197,353,PS2,2004.0,Shooter,LucasArts,1.93,1.22,0.03,82.0,36.0,8.7,142.0,T
198,355,PS2,2001.0,Racing,Electronic Arts,2.02,1.17,0.0,64.0,23.0,7.7,32.0,T
199,357,PS4,2013.0,Shooter,Electronic Arts,1.35,1.55,0.17,85.0,18.0,6.9,1580.0,M
200,358,PS2,2005.0,Shooter,LucasArts,2.18,1.02,0.03,84.0,30.0,9.0,268.0,T
201,360,DS,2007.0,Simulation,505 Games,1.6,1.49,0.1,70.0,39.0,8.0,9.0,E
202,363,PS2,2006.0,Action,Take-Two Interactive,1.56,1.4,0.07,78.0,49.0,7.8,112.0,M
203,364,PS2,2002.0,Action,Sony Computer Entertainment,1.23,1.77,0.05,72.0,49.0,6.8,88.0,M
204,366,PS2,2001.0,Shooter,Electronic Arts,1.9,1.13,0.1,72.0,27.0,7.9,48.0,T
205,378,PS3,2013.0,Shooter,Electronic Arts,1.3,1.42,0.27,80.0,14.0,5.8,579.0,M
206,380,X360,2013.0,Shooter,Electronic Arts,2.15,1.01,0.02,79.0,21.0,5.6,542.0,M
207,381,X360,2010.0,Shooter,Electronic Arts,2.1,1.01,0.04,88.0,75.0,8.6,869.0,M
208,383,DS,2008.0,Misc,Activision,2.1,1.01,0.01,71.0,70.0,8.8,29.0,E10+
209,387,PS2,2002.0,Fighting,Namco Bandai Games,1.55,1.27,0.33,79.0,23.0,8.3,126.0,T
210,389,PS,1998.0,Action,Take-Two Interactive,1.13,2.07,0.0,70.0,15.0,8.0,67.0,T
211,390,PS4,2015.0,Action,Konami Digital Entertainment,1.09,1.36,0.49,93.0,86.0,8.2,3943.0,M
212,391,PS2,2004.0,Action,Activision,1.75,1.2,0.02,80.0,50.0,8.9,106.0,T
213,394,PS3,2011.0,Platform,Sony Computer Entertainment,1.83,1.05,0.06,91.0,86.0,8.4,657.0,E
214,395,PS,2000.0,Misc,Sony Computer Entertainment,1.56,1.47,0.19,68.0,12.0,8.2,99.0,E
215,397,X360,2008.0,Action,Warner Bros. Interactive Entertainment,2.04,1.02,0.0,76.0,49.0,7.9,75.0,E10+
216,404,PS2,2002.0,Shooter,Electronic Arts,1.45,1.29,0.12,77.0,20.0,8.5,66.0,T
217,407,PS2,2005.0,Action,LucasArts,1.47,1.39,0.03,60.0,34.0,7.2,82.0,T
218,409,PS2,2001.0,Shooter,Take-Two Interactive,1.99,1.05,0.05,80.0,21.0,8.5,86.0,M
219,410,X360,2013.0,Action,Ubisoft,1.9,1.11,0.01,86.0,35.0,7.9,701.0,M
220,411,PS2,2003.0,Action,Electronic Arts,1.5,1.28,0.05,85.0,31.0,8.7,105.0,T
221,414,PS2,2003.0,Action,Activision,1.89,1.05,0.02,77.0,39.0,8.0,94.0,M
222,418,Wii,2008.0,Misc,Nintendo,1.35,1.11,0.46,63.0,43.0,4.6,116.0,E
223,430,PS2,2003.0,Action,Atari,1.78,1.12,0.09,62.0,30.0,8.1,137.0,T
224,433,PS3,2011.0,Adventure,Take-Two Interactive,1.27,1.29,0.12,89.0,78.0,7.7,1010.0,M
225,438,PS,2000.0,Action,Activision,1.7,1.25,0.02,87.0,19.0,9.0,107.0,E
226,439,Wii,2012.0,Misc,Nintendo,1.06,1.09,0.76,73.0,45.0,6.8,155.0,E
227,442,DS,2005.0,Platform,Sega,1.21,1.56,0.06,82.0,43.0,8.5,101.0,E
228,445,PS3,2010.0,Role-Playing,Bethesda Softworks,1.52,1.03,0.1,82.0,57.0,7.8,492.0,M
229,448,3DS,2013.0,Action,Nintendo,1.4,1.01,0.46,91.0,81.0,8.9,1057.0,E
230,455,PC,2002.0,Simulation,Electronic Arts,1.72,1.21,0.0,75.0,18.0,7.8,22.0,T
231,460,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1.75,1.01,0.0,72.0,16.0,8.0,16.0,E10+
232,463,PS3,2010.0,Adventure,Sony Computer Entertainment,1.29,1.21,0.06,87.0,107.0,7.7,2759.0,M
233,466,XB,2002.0,Action,Ubisoft,1.85,1.04,0.0,93.0,46.0,8.5,121.0,T
234,470,PS3,2009.0,Shooter,Sony Computer Entertainment,1.4,1.06,0.08,91.0,94.0,8.1,1505.0,M
235,471,X360,2012.0,Shooter,Ubisoft,1.38,1.32,0.02,91.0,39.0,8.6,1247.0,M
236,477,PC,2000.0,Misc,Electronic Arts,1.67,1.18,0.0,82.0,23.0,6.6,20.0,T
237,480,PC,2011.0,Role-Playing,Electronic Arts,1.58,1.01,0.0,85.0,73.0,5.9,2748.0,T
238,481,PS4,2014.0,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.05,84.0,85.0,8.1,1886.0,M
239,482,PS2,2003.0,Platform,Sega,1.04,1.37,0.06,64.0,29.0,7.8,94.0,E
240,483,PS2,2002.0,Action,Eidos Interactive,1.36,1.15,0.04,85.0,19.0,7.8,78.0,M
241,485,PS3,2010.0,Shooter,Electronic Arts,1.33,1.1,0.08,88.0,59.0,8.5,572.0,M
242,497,PS2,2004.0,Misc,Sega,1.54,1.14,0.0,73.0,21.0,8.6,30.0,E
243,501,Wii,2007.0,Simulation,505 Games,1.41,1.12,0.05,61.0,37.0,5.3,23.0,E
244,502,PS2,2004.0,Shooter,Activision,1.51,1.12,0.01,76.0,49.0,7.7,69.0,T
245,509,PS4,2013.0,Action,Ubisoft,1.07,1.31,0.06,83.0,29.0,7.8,1530.0,M
246,522,PS3,2010.0,Shooter,Electronic Arts,1.28,1.04,0.07,75.0,56.0,7.5,286.0,M
247,536,PS3,2010.0,Racing,Electronic Arts,1.05,1.23,0.03,89.0,59.0,7.2,301.0,E10+
248,537,Wii,2011.0,Action,Activision,1.35,1.13,0.0,81.0,11.0,5.6,31.0,E10+
249,540,PS2,2003.0,Simulation,Electronic Arts,1.41,1.12,0.0,83.0,33.0,7.7,46.0,T
250,545,X360,2011.0,Action,THQ,1.25,1.14,0.07,84.0,70.0,7.6,490.0,M
251,551,Wii,2007.0,Platform,Sega,1.21,1.19,0.04,69.0,44.0,6.6,174.0,E
252,562,PS2,2004.0,Racing,Electronic Arts,1.23,1.11,0.0,93.0,52.0,9.1,271.0,T
253,568,PS,1998.0,Shooter,Electronic Arts,1.44,1.09,0.0,92.0,17.0,8.6,80.0,T
254,573,PS2,2003.0,Action,Ubisoft,1.15,1.11,0.0,89.0,24.0,7.7,102.0,T
255,591,Wii,2007.0,Sports,Nintendo,1.05,1.05,0.24,79.0,47.0,8.0,124.0,E10+
256,610,PS2,2001.0,Racing,Acclaim Entertainment,1.13,1.12,0.06,80.0,15.0,7.9,46.0,T
257,636,PS2,2003.0,Simulation,Electronic Arts,1.07,1.19,0.0,81.0,26.0,8.4,42.0,T
